date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:12	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Nov%202025%2001:09:12%20GMT	http://www.abbottgageinc.com/robots.txt		(from )
19:09:12	27061/27061	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2001:09:12%20GMT	http://www.abbottgageinc.com/	C:/WebSites/AbbotGageInc/AbbotGageInc/www.abbottgageinc.com/index.html	(from )
19:09:12	9290/9290	---M-Z	200	added ('OK')	text/css	etag:%22132dd2f-244a-50ae1df21b1c0-gzip%22	http://www.abbottgageinc.com/agi_style.css	C:/WebSites/AbbotGageInc/AbbotGageInc/www.abbottgageinc.com/agi_style.css	(from http://www.abbottgageinc.com/)
19:09:13	27061/27061	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2001:09:14%20GMT	http://www.abbottgageinc.com/index.htm	C:/WebSites/AbbotGageInc/AbbotGageInc/www.abbottgageinc.com/index-2.html	(from http://www.abbottgageinc.com/)
19:09:14	23650/23650	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2001:09:14%20GMT	http://www.abbottgageinc.com/laboratory.htm	C:/WebSites/AbbotGageInc/AbbotGageInc/www.abbottgageinc.com/laboratory.html	(from http://www.abbottgageinc.com/)
19:09:14	23755/23755	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2001:09:14%20GMT	http://www.abbottgageinc.com/onsite.htm	C:/WebSites/AbbotGageInc/AbbotGageInc/www.abbottgageinc.com/onsite.html	(from http://www.abbottgageinc.com/)
19:09:14	26303/26303	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2001:09:15%20GMT	http://www.abbottgageinc.com/sales.htm	C:/WebSites/AbbotGageInc/AbbotGageInc/www.abbottgageinc.com/sales.html	(from http://www.abbottgageinc.com/)
19:09:15	23578/23578	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2001:09:15%20GMT	http://www.abbottgageinc.com/repairs.htm	C:/WebSites/AbbotGageInc/AbbotGageInc/www.abbottgageinc.com/repairs.html	(from http://www.abbottgageinc.com/)
19:09:15	21307/21307	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2001:09:15%20GMT	http://www.abbottgageinc.com/contact-us.htm	C:/WebSites/AbbotGageInc/AbbotGageInc/www.abbottgageinc.com/contact-us.html	(from http://www.abbottgageinc.com/)
19:09:15	20741/20741	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2001:09:16%20GMT	http://www.abbottgageinc.com/location.htm	C:/WebSites/AbbotGageInc/AbbotGageInc/www.abbottgageinc.com/location.html	(from http://www.abbottgageinc.com/)
19:09:16	9224/9224	---M--	200	added ('OK')	image/jpeg	etag:%22132e08e-2408-50ae1cabf3040%22	http://www.abbottgageinc.com/images/nav.jpg	C:/WebSites/AbbotGageInc/AbbotGageInc/www.abbottgageinc.com/images/nav.jpg	(from http://www.abbottgageinc.com/)
19:09:16	17541/17541	---M--	200	added ('OK')	image/x-icon	etag:%22132dfea-4485-50ae1df9bc3c0%22	http://www.abbottgageinc.com/favicon.ico	C:/WebSites/AbbotGageInc/AbbotGageInc/www.abbottgageinc.com/favicon.ico	(from http://www.abbottgageinc.com/)
19:09:18	9556/9556	---M--	200	added ('OK')	image/gif	etag:%22132dde2-2554-50ae1c98e0340%22	http://www.abbottgageinc.com/image/womens_business_enterprise.gif	C:/WebSites/AbbotGageInc/AbbotGageInc/www.abbottgageinc.com/image/womens_business_enterprise.gif	(from http://www.abbottgageinc.com/)
